trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-122.58770360477968,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-43.70972115071368,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-94.64242002295633,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-138.3128262737446,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-71.54210635615506,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-155.98134857175742,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-83.20698179949896,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-160.4282945306687,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,-29.908773247250608,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-90.50041424119112,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-89.58543557500964,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,4.453820779246015,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-129.59743490160776,"{0: 12, 1: 1, 2: 2, 3: 4, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-131.95100439448473,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-26.267894286444037,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,7,-45.902494704635714,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-14.74485224215851,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,-42.884597922179296,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-36.31622400401682,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-66.85518954956109,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-32.354705986994034,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,14,10.958583769726488,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,3,-95.09628087866228,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 3}",1
4,True,"{'a': 0, 'e': 0}",20,0,-14.299998742902037,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-101.3954359133658,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,10,-40.71052253515011,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-30.656499937320667,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,2.2128084272970225,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,11,17.69559569200004,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,-13.891075955307162,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
