trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.9999995000000417}",30,0,-98.22423650756417,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.95, 'e': 0.9999980000006666}",20,0,-37.13271530791506,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.95, 'e': 0.999995500003375}",30,0,-78.42742736513584,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.95, 'e': 0.9999920000106667}",25,0,-200.11151402277628,"{0: 10, 1: 2, 2: 10, 3: 1, 4: 2}",0
5,False,"{'a': 0.95, 'e': 0.9999875000260416}",25,0,-237.83878354970028,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
6,False,"{'a': 0.95, 'e': 0.999982000054}",20,0,-104.85794445427224,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.9999755001000415}",35,0,-180.16210843872986,"{0: 17, 1: 7, 2: 8, 3: 2, 4: 1}",0
8,False,"{'a': 0.95, 'e': 0.9999680001706663}",20,2,-57.00063996339783,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.95, 'e': 0.9999595002733742}",20,0,-150.85844785878734,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.95, 'e': 0.9999500004166653}",20,0,-85.58180999457703,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.95, 'e': 0.9999395006100392}",25,0,-86.4679049623216,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.95, 'e': 0.9999280008639958}",20,0,-94.89261506180314,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.95, 'e': 0.9999155011900349}",20,0,-94.1126350053281,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.95, 'e': 0.9999020016006562}",30,12,-35.052593724292265,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.95, 'e': 0.9998875021093592}",25,0,-153.94243297096244,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.9998720027306434}",20,0,-91.3573246439402,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.95, 'e': 0.9998555034800082}",25,0,-171.52149925178824,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.95, 'e': 0.9998380043739528}",30,0,-156.49067274366251,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.95, 'e': 0.9998195054299763}",20,0,-71.21166362148773,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.95, 'e': 0.9998000066665778}",20,0,-72.26819009456332,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.95, 'e': 0.9997795081032559}",20,0,-89.98799054142253,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
22,False,"{'a': 0.95, 'e': 0.9997580097605092}",30,0,-181.0405970995049,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
23,False,"{'a': 0.95, 'e': 0.9997355116598361}",25,0,-110.83648812777334,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
24,False,"{'a': 0.95, 'e': 0.9997120138237345}",30,0,-140.60562818009362,"{0: 12, 1: 7, 2: 10, 3: 1, 4: 0}",0
25,False,"{'a': 0.95, 'e': 0.9996875162757026}",35,0,-175.9266584045561,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
26,False,"{'a': 0.95, 'e': 0.9996620190402377}",30,0,-125.43771287429337,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
27,False,"{'a': 0.95, 'e': 0.9996355221428369}",30,0,-113.66194693984079,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.95, 'e': 0.9996080256099974}",25,3,-171.78988009798115,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 2}",1
29,False,"{'a': 0.95, 'e': 0.9995795294692156}",25,10,-58.81496563269503,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 0}",1
30,False,"{'a': 0.95, 'e': 0.9995500337489875}",25,0,-122.36515079694624,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.95, 'e': 0.999519538478809}",20,5,-144.2727760739799,"{0: 6, 1: 2, 2: 4, 3: 1, 4: 2}",1
32,False,"{'a': 0.95, 'e': 0.9994880436891754}",20,0,-22.591097215507304,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.95, 'e': 0.9994555494115813}",20,0,-173.53455945570678,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
34,False,"{'a': 0.95, 'e': 0.9994220556785212}",20,0,-142.50540180460442,"{0: 11, 1: 2, 2: 2, 3: 4, 4: 1}",0
35,False,"{'a': 0.95, 'e': 0.9993875625234886}",20,0,-88.49464669060377,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
36,False,"{'a': 0.95, 'e': 0.9993520699809768}",20,0,-100.22062248474239,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",1
37,False,"{'a': 0.95, 'e': 0.9993155780864782}",20,0,-38.68766170981281,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.95, 'e': 0.9992780868764849}",30,0,-225.93544435763914,"{0: 15, 1: 1, 2: 11, 3: 0, 4: 3}",0
