trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.1979225189789,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.1736230932934,"{0: 20, 1: 0, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.44609490540036,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-227.92661481285586,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.26694822062023,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.08039586807834,"{0: 7, 1: 3, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.99633004967818,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.02372540249902,"{0: 8, 1: 6, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-256.92329440616396,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.54995938033704,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.69264344870537,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.39231301987934,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.49879903427708,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.02437404477493,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.86014315122543,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,3,-89.21313785224213,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.56021150454885,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.5870533047744,"{0: 16, 1: 8, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.044058337658,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,5,-114.7124117777753,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,3,-74.65468042775998,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.09084329762584,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-131.24401222076983,"{0: 17, 1: 8, 2: 9, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.07340233569238,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.48669170832797,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.8810059480708,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-158.78773801244108,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.22861078764817,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.28514114916791,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,7,-107.21392053596948,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 2}",1
